"Date","Open","High","Low","Close","Volume"
"2021-05-27","24.41","24.42","23.73","23.86","20866150"
"2021-05-28","23.55","24.15","23.48","24.08","20382480"
"2021-06-01","24.13","24.3","23.792","24.26","17551030"
"2021-06-02","24.28","24.37","24.14","24.17","9600369"
"2021-06-03","23.57","23.6","23.13","23.21","21158460"
"2021-06-04","23.32","23.6772","23.25","23.46","13415400"
"2021-06-07","23.32","23.49","23.17","23.41","10957860"
"2021-06-08","23.35","23.52","23.12","23.12","10678610"
"2021-06-09","23.1","23.325","23.01","23.01","10446260"
"2021-06-10","23.02","23.73","22.925","23.71","13176390"
"2021-06-11","23.61","23.66","23.22","23.23","10951940"
"2021-06-14","22.88","23.2568","22.7","23.15","13119150"
"2021-06-15","23.16","23.16","22.77","22.79","11167050"
"2021-06-16","22.83","23.14","22.44","22.45","21393940"
"2021-06-17","21.79","21.88","21","21.03","37068430"
"2021-06-18","21.12","21.2256","20.735","20.75","30229390"
"2021-06-21","20.94","21.27","20.8","21.15","15733870"
"2021-06-22","21.07","21.28","20.975","21.08","12925300"
"2021-06-23","21.31","21.3466","20.935","20.96","10329330"
"2021-06-24","21.06","21.17","20.92","20.97","10545960"
"2021-06-25","21.19","21.24","20.83","20.89","11269650"
"2021-06-28","20.92","21.0417","20.54","20.7","12068640"
"2021-06-29","20.42","20.68","20.29","20.53","12433580"
"2021-06-30","20.7","20.81","20.46","20.68","10543820"
"2021-07-01","20.93","20.94","20.5","20.58","12980090"
"2021-07-02","20.82","20.96","20.5901","20.79","10721840"
"2021-07-06","21.11","21.3599","20.98","21.29","20210070"
"2021-07-07","21.41","21.41","21.03","21.19","9319982"
"2021-07-08","21.21","21.29","20.57","20.72","14453930"
"2021-07-09","20.8","21.21","20.76","21.13","10654440"
"2021-07-12","21","21.2682","20.77","20.83","10528140"
"2021-07-13","20.92","21.53","20.9068","21.14","14865200"
"2021-07-14","21.64","21.65","21.2","21.33","13168210"
"2021-07-15","21.31","21.35","20.95","21.27","12845380"
"2021-07-16","21.17","21.21","20.71","20.86","17418070"
"2021-07-19","20.63","20.845","20.265","20.54","20149370"
"2021-07-20","20.67","21.0556","20.545","20.72","16237140"
"2021-07-21","20.57","21.01","20.53","20.9","12057380"
"2021-07-22","20.78","20.87","20.52","20.74","10176940"
"2021-07-23","20.65","20.78","20.43","20.63","10308500"
"2021-07-26","20.66","21.045","20.57","20.82","10282540"
"2021-07-27","20.86","21.06","20.68","20.99","10501600"
"2021-07-28","20.97","21.37","20.91","21.34","11952500"
"2021-07-29","21.74","21.99","21.59","21.81","16416160"
"2021-07-30","21.69","21.99","21.59","21.77","10183960"
"2021-08-02","21.78","21.79","21.41","21.57","12234370"
"2021-08-03","21.55","21.77","21.535","21.72","10743920"
"2021-08-04","22.01","22.3","21.62","21.65","16792050"
"2021-08-05","21.66","21.66","21.21","21.26","11553850"
"2021-08-06","20.75","21","20.35","20.8","29729070"
"2021-08-09","20.49","20.8299","20.4031","20.56","24458950"
"2021-08-10","20.48","20.57","19.84","19.84","26957090"
"2021-08-11","20.07","20.5","20.03","20.31","15127660"
"2021-08-12","20.21","20.23","19.87","20.05","12273610"
"2021-08-13","20.3","20.495","20.13","20.27","13115210"
"2021-08-16","20.11","20.36","20.0373","20.19","15403290"
"2021-08-17","20.14","20.235","19.82","19.97","15532430"
"2021-08-18","20.03","20.03","19.39","19.46","21364430"
"2021-08-19","19.38","19.46","19.06","19.13","19626940"
"2021-08-20","19.01","19.4","18.76","19.23","12678720"
"2021-08-23","19.58","20.26","19.32","20.15","22050430"
"2021-08-24","20.26","20.27","19.9801","20.12","12228820"
"2021-08-25","19.95","19.97","19.695","19.85","11031150"
"2021-08-26","19.63","19.87","19.6","19.73","9865037"
"2021-08-27","19.72","20.34","19.64","20.24","14377960"
"2021-08-30","20.24","20.25","19.72","19.81","13046820"
"2021-08-31","19.89","20.11","19.83","20.07","11989990"
"2021-09-01","20.2","20.22","19.8","19.81","13679670"
"2021-09-02","19.83","19.9","19.6845","19.87","13201110"
"2021-09-03","20.18","20.51","20.05","20.3","20241310"
"2021-09-07","20.15","20.16","19.73","19.85","20123360"
"2021-09-08","19.82","19.9799","19.61","19.86","19809090"
"2021-09-09","20.01","20.01","19.62","19.69","16143250"
"2021-09-10","19.69","19.76","19.35","19.35","14659500"
"2021-09-13","19.39","19.69","19.23","19.47","15877270"
"2021-09-14","19.63","19.8199","19.45","19.5","16122780"
"2021-09-15","19.48","19.67","19.33","19.36","15031000"
"2021-09-16","18.98","18.98","18.4","18.51","40452090"
"2021-09-17","18.48","18.49","18.26","18.36","23316390"
"2021-09-20","18.23","18.65","18.095","18.65","23097590"
"2021-09-21","18.8","18.85","18.48","18.49","18250790"
"2021-09-22","18.55","18.81","18.405","18.45","17054580"
"2021-09-23","18.3","18.38","18.09","18.23","19733570"
"2021-09-24","18.09","18.27","18.03","18.03","13371210"
"2021-09-27","18.06","18.255","17.87","17.95","20717320"
"2021-09-28","17.81","18.12","17.57","18.1","26643150"
